timestamp,tipo,nodo_id,temperatura,humedad,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
2026-06-02T19:24:32.810474,p,1,22.19677,66.34683,0,5622,26,0,54,0,0,0,0,0,0,4302,7812,4668,0,0,0,0,0,0
2026-06-02T19:25:18.989930,p,1,22.20402,66.30927,0,5672,14,0,58,0,0,0,0,0,0,4318,7800,4656,0,0,0,0,0,0
2026-06-02T19:26:05.186801,p,1,22.19677,66.36715,0,5696,36,0,60,0,0,0,0,0,0,4332,7784,4606,0,0,0,0,0,0
2026-06-02T19:26:51.395775,p,1,22.1941,66.34274,0,5694,20,0,82,0,0,0,0,0,0,4384,6476,4644,0,0,0,0,0,0
2026-06-02T19:27:37.610076,p,1,22.18208,66.33492,0,5642,58,0,118,0,0,0,0,0,0,4298,7448,4644,0,0,0,0,0,0
2026-06-02T19:28:23.823032,p,1,22.20268,66.32633,0,5700,32,0,66,0,0,0,0,0,0,4380,7418,4634,0,0,0,0,0,0
2026-06-02T19:29:10.021993,p,1,22.18342,66.33167,0,5706,32,0,28,0,0,0,0,0,0,4352,7428,4710,0,0,0,0,0,0
2026-06-02T19:29:56.242299,p,1,22.17388,66.30469,0,5564,6,0,76,0,0,0,0,0,0,4364,7450,4698,0,0,0,0,0,0
2026-06-02T19:30:42.443726,p,1,22.18761,66.33195,0,5712,42,0,50,0,0,0,0,0,0,4302,7444,4680,0,0,0,0,0,0
2026-06-02T19:31:28.667539,p,1,22.18952,66.3269,0,5748,38,0,66,0,0,0,0,0,0,4444,7458,4678,0,0,0,0,0,0
2026-06-02T19:32:14.866527,p,1,22.17312,66.33072,0,5656,18,0,66,0,0,0,0,0,0,4348,7472,4668,0,0,0,0,0,0
2026-06-02T19:33:01.069217,p,1,22.16511,66.3044,0,5638,10,0,42,0,0,0,0,0,0,4320,7444,4668,0,0,0,0,0,0
2026-06-02T19:33:47.278688,p,1,22.16053,66.29333,0,5706,36,0,48,0,0,0,0,0,0,4376,7460,4692,0,0,0,0,0,0
2026-06-02T19:34:33.502114,p,1,22.1674,66.30945,0,5680,12,0,64,0,0,0,0,0,0,4378,7500,4708,0,0,0,0,0,0
2026-06-02T19:35:19.731428,p,1,22.17674,66.29858,0,5666,4,0,58,0,0,0,0,0,0,4364,7502,4686,0,0,0,0,0,0
2026-06-02T19:36:05.952347,p,1,22.17121,66.29324,0,5666,2,0,72,0,0,0,0,0,0,4406,7492,4672,0,0,0,0,0,0
